instanceID,ts_start,ts_end,duration,status,code,message,comment,contractCategory,iecCategory
LLY_WTG12,09-Feb-2020 11:27:04,09-Feb-2020 11:37:39,00:10:35,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,13-Feb-2020 04:20:13,13-Feb-2020 04:29:39,00:09:26,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,13-Feb-2020 10:30:00,13-Feb-2020 12:15:02,01:45:02,communication,9997,Data communication unavailable,,<undefined>,Information Unavailable
LLY_WTG12,17-Feb-2020 06:28:23,17-Feb-2020 06:37:44,00:09:21,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,17-Feb-2020 08:00:04,17-Feb-2020 08:14:18,00:14:14,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,19-Feb-2020 09:55:29,19-Feb-2020 10:14:51,00:19:22,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,19-Feb-2020 10:33:40,19-Feb-2020 10:52:00,00:18:20,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,20-Feb-2020 11:55:24,20-Feb-2020 12:42:47,00:47:23,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,22-Feb-2020 04:46:47,22-Feb-2020 04:55:36,00:08:49,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,22-Feb-2020 14:11:28,22-Feb-2020 14:12:11,00:00:43,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,24-Feb-2020 14:43:16,16-Mar-2020 12:54:47,502:11:31,stop,30,Gear bearing superheated,Gearbox has been replaced. Awaiting alignment and connections to be completed,Major Component - Owner - Gearbox,<undefined>
LLY_WTG12,28-Feb-2020 17:53:04,02-Mar-2020 10:56:21,65:03:17,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,29-Feb-2020 10:00:00,29-Feb-2020 11:51:02,01:51:02,communication,9997,Data communication unavailable,,<undefined>,Information Unavailable
LLY_WTG12,05-Mar-2020 08:20:19,17-Mar-2020 15:25:58,295:05:39,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,12-Mar-2020 00:50:00,12-Mar-2020 04:04:04,03:14:04,communication,9997,Data communication unavailable,,<undefined>,Information Unavailable
LLY_WTG12,16-Mar-2020 12:57:06,02-Apr-2020 09:32:54,405:35:48,stop,92,Emergency switch activated,,<undefined>,<undefined>
LLY_WTG12,17-Mar-2020 15:26:45,18-Mar-2020 09:27:46,18:01:01,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,17-Mar-2020 15:30:00,13-May-2020 15:08:35,1368:38:35,communication,9997,Data communication unavailable,Requires gearbox replacement,<undefined>,Information Unavailable
LLY_WTG12,18-Mar-2020 09:28:33,19-Mar-2020 09:49:44,24:21:11,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,23-Mar-2020 15:05:02,30-Mar-2020 06:29:06,160:24:04,warning,50001,No communication  ,,<undefined>,<undefined>
